Feature,Min,Max
Пол,0.0,1.0
Возраст,25.0,60.0
"Рост,см",156.0,194.0
"Вес,кг",55.9,134.6
"О.ж.,%",17.7,47.4
"Висц.ж,%",5.0,26.0
"Мыш.м,%",39.6,77.8
"Скелет,%",27.5,48.7
"Кости,кг",2.0,4.7
"Вода,%",30.7,61.4
"СООВ,ккал",1179.0,2156.0
"ОГ,см",90.0,132.0
"ОТ,см",76.0,134.0
"ОЖ,см",86.0,135.0
"ОБ,см",87.0,134.0
ИМТ,20.93,42.32
АЛТ,7.1,102.3
АСТ,9.0,91.05
ГГТП,8.0,144.0
ЩФ,42.0,156.0
ХСобщ.,3.26,7.8
ЛПНП,1.3,5.73
ЛПВП,0.7,2.8
Триглиц.,0.36,5.51
Билир.о,4.4,29.6
Билир.пр,2.1,12.1
Глюкоза,4.1,7.3
Инсулин,7.7,34.0
Ферритин,17.9,639.0
СРБ,0.0,15.0
О.белок,61.0,81.0
Моч.к-та,127.5,546.0
